Annotation,Value,ValueDescription,Type,Category,AnnotationDescription
library_id,NA,NA,freetext,file,This is an identifier for the sequencing library preparation.
platform,,Affymetrix SNP Array 6.0,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,Illumina HiSeq,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,Illumina Human Methylation 450,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,Illumina GA,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,MDA_RPPA_Core,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,BCR Record,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,Hospital Record,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,llumina Human Methylation 27,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,ABI capillary sequencer,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,AgilentG4502A_07_3,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,HG-CGH-244A,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,HG-CGH-415K_G4124A,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,CGH-1x1M_G4447A,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,Illumina MiSeq,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,HT_HG-U133A,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,Illumina Human 1M Duo,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,H-miRNA_8x15Kv2,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,Illumina HumanHap550,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,H-miRNA_8x15K,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,AgilentG4502A_07_2,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,HuEx-1_0-st-v2,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,ABI SOLiD,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,Complete Genomics,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,HG-U133_Plus_2,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,Illumina DNA Methylation OMA003 CPI,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,Illumina DNA Methylation OMA002 CPI,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,AgilentG4502A_07_1,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,Ion Torrent PGM,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,Affymetrix U133 Plus 2,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,LS 454,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,HiSeq X Ten,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,Mixed platforms,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,Illumina,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,Helicos,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,PacBio,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform,,Not available,categorical,file,"This is the version (manufacturer, model, etc.) of the technology that was used sequencing or assaying."
platform_unit_id,,This takes a string.,freetext,file,"This is an identifier for lanes (Illumina), or for slides (SOLiD) in the case that a library was split and ran over multiple lanes on the flow cell or slides. The platform unit ID refers to the lane ID or the slide ID."
paired_end,,This takes a value of 1 or 2. Note: For single-end sequencing no value is needed.,freetext,file,"For paired-end sequencing, this value determines the end of the fragment sequenced."
file_segment_number,,This takes an integer.,numerical,file,"If the sequencing reads for a single library, sample and lane are divided into multiple (smaller) files, the File segment number is used to enumerate these. Otherwise, this field can be left blank."
quality_scale,,sanger,categorical,file,"For raw reads, this value denotes the sequencing technology and quality format. For BAM and SAM files, this value should always be ‘Sanger’."
quality_scale,,llumina13,categorical,file,"For raw reads, this value denotes the sequencing technology and quality format. For BAM and SAM files, this value should always be ‘Sanger’."
quality_scale,,illumina15,categorical,file,"For raw reads, this value denotes the sequencing technology and quality format. For BAM and SAM files, this value should always be ‘Sanger’."
quality_scale,,illumina18,categorical,file,"For raw reads, this value denotes the sequencing technology and quality format. For BAM and SAM files, this value should always be ‘Sanger’."
quality_scale,,solexa,categorical,file,"For raw reads, this value denotes the sequencing technology and quality format. For BAM and SAM files, this value should always be ‘Sanger’."
quality_scale,,not available,categorical,file,"For raw reads, this value denotes the sequencing technology and quality format. For BAM and SAM files, this value should always be ‘Sanger’."
experimental_strategy,,DNA-Seq,categorical,file,This is the method or protocol used to perform the laboratory analysis.
experimental_strategy,,WXS,categorical,file,This is the method or protocol used to perform the laboratory analysis.
experimental_strategy,,WGS,categorical,file,This is the method or protocol used to perform the laboratory analysis.
experimental_strategy,,Amplicon,categorical,file,This is the method or protocol used to perform the laboratory analysis.
experimental_strategy,,Bisulfite-Seq,categorical,file,This is the method or protocol used to perform the laboratory analysis.
experimental_strategy,,VALIDATION,categorical,file,This is the method or protocol used to perform the laboratory analysis.
experimental_strategy,,RNA-Seq,categorical,file,This is the method or protocol used to perform the laboratory analysis.
experimental_strategy,,miRNA-Seq,categorical,file,This is the method or protocol used to perform the laboratory analysis.
experimental_strategy,,Total RNA-Seq,categorical,file,This is the method or protocol used to perform the laboratory analysis.
